0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:57:06 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:57:14 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:57:22 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:57:30 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:57:38 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:57:46 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:57:54 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:02 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:03 +0800] "GET /site/webfiles/1472021479902/images/nav-hover-bg.png HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:07 +0800] "GET /site/cn HTTP/1.1" 200 6618
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/css/styles.css HTTP/1.1" 200 7568
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/images/arrow-right.png HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/js/bootstrap.min.js HTTP/1.1" 200 28941
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/binaries/content/gallery/kohler/banners/promo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/js/jquery-2.1.0.min.js HTTP/1.1" 200 83615
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/binaries/content/gallery/kohler/banners/promo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/binaries/content/gallery/kohler/banners/promo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/images/logo.png HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/images/cart.png HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/binaries/content/gallery/kohler/banners/homehero_en_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/binaries/content/gallery/kohler/banners/banner-shower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/binaries/content/gallery/kohler/banners/homehero_en_6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/binaries/content/gallery/kohler/banners/homehero_en_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/binaries/content/gallery/kohler/banners/homehero_en_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/css/bootstrap.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/images/search-icon.png HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:08 +0800] "GET /site/webfiles/1472021479902/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:10 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:18 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:26 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:34 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:42 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:50 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:58:58 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 152
